SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,ASFR,PASFR,Births
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1950,1950.5,15-19,15,5,12.635,1.723,54.936
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1950,1950.5,20-24,20,5,160.355,21.867,639.404
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1950,1950.5,25-29,25,5,237.881,32.439,815.371
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1950,1950.5,30-34,30,5,177.258,24.172,505.058
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1950,1950.5,35-39,35,5,105.388,14.371,283.878
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1950,1950.5,40-44,40,5,37.287,5.085,85.616
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1950,1950.5,45-49,45,5,2.407,0.328,4.786
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1950,1950.5,50-54,50,5,0.105,0.014,0.177
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1951,1951.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1951,1951.5,15-19,15,5,10.462,1.608,45.965
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1951,1951.5,20-24,20,5,141.196,21.695,571.351
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1951,1951.5,25-29,25,5,217.564,33.43,768.408
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1951,1951.5,30-34,30,5,160.472,24.657,469.367
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1951,1951.5,35-39,35,5,89.599,13.767,244.33
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1951,1951.5,40-44,40,5,29.666,4.558,71.038
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1951,1951.5,45-49,45,5,1.776,0.273,3.544
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1951,1951.5,50-54,50,5,0.078,0.012,0.135
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1952,1952.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1952,1952.5,15-19,15,5,8.609,1.452,38.038
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1952,1952.5,20-24,20,5,129.363,21.822,532.389
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1952,1952.5,25-29,25,5,205.145,34.606,747.003
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1952,1952.5,30-34,30,5,147.708,24.917,444.787
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1952,1952.5,35-39,35,5,76.901,12.972,211.171
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1952,1952.5,40-44,40,5,23.573,3.976,58.531
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1952,1952.5,45-49,45,5,1.426,0.24,2.876
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1952,1952.5,50-54,50,5,0.079,0.013,0.142
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1953,1953.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1953,1953.5,15-19,15,5,7.212,1.342,31.765
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1953,1953.5,20-24,20,5,120.048,22.338,502.489
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1953,1953.5,25-29,25,5,192.139,35.752,717.487
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1953,1953.5,30-34,30,5,133.447,24.831,417.925
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1953,1953.5,35-39,35,5,64.86,12.069,178.382
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1953,1953.5,40-44,40,5,18.504,3.443,47.069
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1953,1953.5,45-49,45,5,1.128,0.21,2.34
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1953,1953.5,50-54,50,5,0.078,0.015,0.146
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1954,1954.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1954,1954.5,15-19,15,5,6.402,1.287,27.901
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1954,1954.5,20-24,20,5,114.103,22.943,484.463
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1954,1954.5,25-29,25,5,183.144,36.825,699.36
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1954,1954.5,30-34,30,5,121.797,24.49,398.009
